tanda;grupo;idioma;consulta;cos_max;tau_idioma;clasifica_bien;pasaje_num;pasaje_recuperado
1;dentro;es;¿Cómo se deben pintar las sombras sobre una figura?;0.8270;0.8017;si;554;"OF THE JUDGMENT TO BE MADE OF A PAINTER'S WORK. First you must consider whether the figures have the relief required by their situation and the light which illuminates them; for the shadows should not be the same at the extreme ends of the composition as in the middle, because it is one thing when figures are surrounded by shadows and another when they have shadows only on one side. Those which ar"
1;dentro;es;¿Por qué las montañas lejanas se ven azuladas?;0.8027;0.8017;si;981;"The summits of mountains for a long time rise constantly. The opposite sides of the mountains always approach each other below; the depths of the valleys which are above the sphere of the waters are in the course of time constantly getting nearer to the centre of the world. In an equal period, the valleys sink much more than the mountains rise. The bases of the mountains always come closer togethe"
1;dentro;es;¿Cómo se mueve el agua de un río cuando encuentra un obstáculo?;0.8263;0.8017;si;927;Water gives the first impetus to its motion. A book of the levelling of waters by various means, A book of diverting rivers from places where they do mischief. A book of guiding rivers which occupy too much ground. A book of parting rivers into several branches and making them fordable. A book of the waters which with various currents pass through seas. A book of deepening the beds of rivers by me
1;dentro;es;¿Cómo hacen los pájaros para sostenerse en el aire sin batir las alas?;0.8179;0.8017;si;1123;"Remember that your flying machine must imitate no other than the bat, because the web is what by its union gives the armour, or strength to the wings. If you imitate the wings of feathered birds, you will find a much stronger structure, because they are pervious; that is, their feathers are separate and the air passes through them. But the bat is aided by the web that connects the whole and is not"
1;dentro;es;¿Cuáles son las proporciones del cuerpo humano?;0.8268;0.8017;si;334;From the roots of the hair to the top of the breast _a b_ is the sixth part of the height of a man and this measure is equal. From the outside part of one shoulder to the other is the same distance as from the top of the breast to the navel and this measure goes four times from the sole of the foot to the lower end of the nose. The [thickness of] the arm where it springs from the shoulder in front
1;dentro;es;¿Qué debe estudiar un joven que quiere aprender a pintar?;0.8288;0.8017;si;483;The youth should first learn perspective, then the proportions of objects. Then he may copy from some good master, to accustom himself to fine forms. Then from nature, to confirm by practice the rules he has learnt. Then see for a time the works of various masters. Then get the habit of putting his art into practice and work.
1;dentro;es;¿Cómo se representa la luz sobre un rostro?;0.8186;0.8017;si;519;That the light should fall upon a picture from one window only. This may be seen in the case of objects in this form. If you want to represent a round ball at a certain height you must make it oval in this shape, and stand so far off as that by foreshortening it appears round.
1;dentro;es;¿Cómo están dispuestos los músculos del brazo?;0.8025;0.8017;si;595;"OF THE DISPOSITION OF LIMBS. As regards the disposition of limbs in movement you will have to consider that when you wish to represent a man who, by some chance, has to turn backwards or to one side, you must not make him move his feet and all his limbs towards the side to which he turns his head. Rather must you make the action proceed by degrees and through the different joints; that is, those o"
1;dentro;es;¿Qué le pasa al color de las cosas cuando están muy lejos?;0.8251;0.8017;si;296;The medium lying between the eye and the object seen, tinges that object with its colour, as the blueness of the atmosphere makes the distant mountains appear blue and red glass makes objects seen beyond it, look red. The light shed round them by the stars is obscured by the darkness of the night which lies between the eye and the radiant light of the stars.
1;dentro;es;¿Cómo se forman los remolinos en el agua?;0.8021;0.8017;si;993;"You now have to prove that the shells cannot have originated if not in salt water, almost all being of that sort; and that the shells in Lombardy are at four levels, and thus it is everywhere, having been made at various times. And they all occur in valleys that open towards the seas."
1;dentro;en;How should shadows be painted upon a figure?;0.8971;0.8592;si;554;"OF THE JUDGMENT TO BE MADE OF A PAINTER'S WORK. First you must consider whether the figures have the relief required by their situation and the light which illuminates them; for the shadows should not be the same at the extreme ends of the composition as in the middle, because it is one thing when figures are surrounded by shadows and another when they have shadows only on one side. Those which ar"
1;dentro;en;Why do distant mountains appear blue?;0.9027;0.8592;si;461;"OF PAINTING. In landscapes which represent [a scene in] winter. The mountains should not be shown blue, as we see in the mountains in the summer. And this is proved in the 4th of this which says: Among mountains seen from a great distance those will look of the bluest colour which are in themselves the darkest; hence, when the trees are stripped of their leaves, they will show a bluer tinge which "
1;dentro;en;How does the water of a river move when it meets an obstacle?;0.8852;0.8592;si;972;"When a smaller river pours its waters into a larger one, and that larger one flows from the opposite direction, the course of the smaller river will bend up against the approach of the larger river; and this happens because, when the larger river fills up all its bed with water, it makes an eddy in front of the mouth of the other river, and so carries the water poured in by the smaller river with "
1;dentro;en;How do birds stay aloft without beating their wings?;0.8758;0.8592;si;1123;"Remember that your flying machine must imitate no other than the bat, because the web is what by its union gives the armour, or strength to the wings. If you imitate the wings of feathered birds, you will find a much stronger structure, because they are pervious; that is, their feathers are separate and the air passes through them. But the bat is aided by the web that connects the whole and is not"
1;dentro;en;What are the proportions of the human body?;0.8714;0.8592;si;343;"Vitruvius, the architect, says in his work on architecture that the measurements of the human body are distributed by Nature as follows: that is that 4 fingers make 1 palm, and 4 palms make 1 foot, 6 palms make 1 cubit; 4 cubits make a man's height. And 4 cubits make one pace and 24 palms make a man; and these measures he used in his buildings. If you open your legs so much as to decrease your hei"
1;dentro;en;What should a young man study who wants to learn to paint?;0.8774;0.8592;si;483;The youth should first learn perspective, then the proportions of objects. Then he may copy from some good master, to accustom himself to fine forms. Then from nature, to confirm by practice the rules he has learnt. Then see for a time the works of various masters. Then get the habit of putting his art into practice and work.
1;dentro;en;How is light rendered upon a face?;0.8850;0.8592;si;565;That you ought, when representing objects above the eye and on one side--if you wish them to look detached from the wall--to show, between the shadow on the object and the shadow it casts a middle light, so that the body will appear to stand away from the wall. On the lighting of white objects.
1;dentro;en;How are the muscles of the arm arranged?;0.8800;0.8592;si;799;THE ARRANGEMENT OF ANATOMY First draw the bones, let us say, of the arm, and put in the motor muscle from the shoulder to the elbow with all its lines. Then proceed in the same way from the elbow to the wrist. Then from the wrist to the hand and from the hand to the fingers. And in the arm you will put the motors of the fingers which open, and these you will show separately in their demonstration.
1;dentro;en;What happens to the colour of things when they are very far away?;0.8888;0.8592;si;268;The surface of every opaque body is affected by the colour of the objects surrounding it. But this effect will be strong or weak in proportion as those objects are more or less remote and more or less strongly [coloured].
1;dentro;en;How are eddies and whirlpools formed in water?;0.8948;0.8592;si;389;"Observe the motion of the surface of the water which resembles that of hair, and has two motions, of which one goes on with the flow of the surface, the other forms the lines of the eddies; thus the water forms eddying whirlpools one part of which are due to the impetus of the principal current and the other to the incidental motion and return flow. On draperies (390--392)."
1;fuera;es;¿Qué opinás de la Mona Lisa y de su sonrisa?;0.8013;0.8017;si;1560;"Ut bene respondet Naturae ars docta! dedisset Vincius, ut tribuit cetera  sic animam  Noluit ut similis magis haec foret: altera sic est: Possidet illius Maurus amans animam. Hujus quam cernis nomen Lucretia, Divi Omnia cui larga contribuere manu. Rara huic forma data est; pinxit Leonardos, amavit Maurus, pictorum primus hic, ille ducum. Naturam, ac superas hac laesit imagine Divas Pictor: tantu"
1;fuera;es;¿Qué pensás de Miguel Ángel como rival?;0.8007;0.8017;si;1560;"Ut bene respondet Naturae ars docta! dedisset Vincius, ut tribuit cetera  sic animam  Noluit ut similis magis haec foret: altera sic est: Possidet illius Maurus amans animam. Hujus quam cernis nomen Lucretia, Divi Omnia cui larga contribuere manu. Rara huic forma data est; pinxit Leonardos, amavit Maurus, pictorum primus hic, ille ducum. Naturam, ac superas hac laesit imagine Divas Pictor: tantu"
