grupo;idioma;consulta;cos_max;clasifica_bien;pasaje_num;pasaje_palabras;pasaje_recuperado;cos_max_1504;pasaje_num_1504;pasaje_recuperado_1504
dentro;es;¿Cómo se deben pintar las sombras sobre una figura?;0.8100;si;236;46;OF PAINTING. When you represent in your work shadows which you can only discern with difficulty, and of which you cannot distinguish the edges so that you apprehend them confusedly, you must not make them sharp or definite lest your work should have a wooden effect.;0.8270;554;"OF THE JUDGMENT TO BE MADE OF A PAINTER'S WORK. First you must consider whether the figures have the relief required by their situation and the light which illuminates them; for the shadows should not be the same at the extreme ends of the composition as in the middle, because it is one thing when figures are surrounded by shadows and another when they have shadows only on one side. Those which ar"
dentro;es;¿Por qué las montañas lejanas se ven azuladas?;0.8027;si;981;86;"The summits of mountains for a long time rise constantly. The opposite sides of the mountains always approach each other below; the depths of the valleys which are above the sphere of the waters are in the course of time constantly getting nearer to the centre of the world. In an equal period, the valleys sink much more than the mountains rise. The bases of the mountains always come closer togethe";0.8027;981;"The summits of mountains for a long time rise constantly. The opposite sides of the mountains always approach each other below; the depths of the valleys which are above the sphere of the waters are in the course of time constantly getting nearer to the centre of the world. In an equal period, the valleys sink much more than the mountains rise. The bases of the mountains always come closer togethe"
dentro;es;¿Cómo se mueve el agua de un río cuando encuentra un obstáculo?;0.8124;si;745;181;"The front _a m_ will give light to the rooms; _a e_ will be 6 braccia--_a b_ 8 braccia --_b e_ 30 braccia, in order that the rooms under the porticoes may be lighted; _c d f_ is the place where the boats come to the houses to be unloaded. In order to render this arrangement practicable, and in order that the inundation of the rivers may not penetrate into the cellars, it is necessary to chose an a";0.8263;927;Water gives the first impetus to its motion. A book of the levelling of waters by various means, A book of diverting rivers from places where they do mischief. A book of guiding rivers which occupy too much ground. A book of parting rivers into several branches and making them fordable. A book of the waters which with various currents pass through seas. A book of deepening the beds of rivers by me
dentro;es;¿Cómo hacen los pájaros para sostenerse en el aire sin batir las alas?;0.7925;si;1278;570;A FABLE. The privet feeling its tender boughs loaded with young fruit, pricked by the sharp claws and beak of the insolent blackbird, complained to the blackbird with pitious remonstrance entreating her that since she stole its delicious fruits she should not deprive it of the leaves with which it preserved them from the burning rays of the sun, and that she should not divest it of its tender bark;0.8179;1123;"Remember that your flying machine must imitate no other than the bat, because the web is what by its union gives the armour, or strength to the wings. If you imitate the wings of feathered birds, you will find a much stronger structure, because they are pervious; that is, their feathers are separate and the air passes through them. But the bat is aided by the web that connects the whole and is not"
dentro;es;¿Cuáles son las proporciones del cuerpo humano?;0.8239;si;343;388;"Vitruvius, the architect, says in his work on architecture that the measurements of the human body are distributed by Nature as follows: that is that 4 fingers make 1 palm, and 4 palms make 1 foot, 6 palms make 1 cubit; 4 cubits make a man's height. And 4 cubits make one pace and 24 palms make a man; and these measures he used in his buildings. If you open your legs so much as to decrease your hei";0.8268;334;From the roots of the hair to the top of the breast _a b_ is the sixth part of the height of a man and this measure is equal. From the outside part of one shoulder to the other is the same distance as from the top of the breast to the navel and this measure goes four times from the sole of the foot to the lower end of the nose. The [thickness of] the arm where it springs from the shoulder in front
dentro;es;¿Qué debe estudiar un joven que quiere aprender a pintar?;0.8076;si;506;217;PAINTING. The mind of the painter must resemble a mirror, which always takes the colour of the object it reflects and is completely occupied by the images of as many objects as are in front of it. Therefore you must know, Oh Painter! that you cannot be a good one if you are not the universal master of representing by your art every kind of form produced by nature. And this you will not know how to;0.8288;483;The youth should first learn perspective, then the proportions of objects. Then he may copy from some good master, to accustom himself to fine forms. Then from nature, to confirm by practice the rules he has learnt. Then see for a time the works of various masters. Then get the habit of putting his art into practice and work.
dentro;es;¿Cómo se representa la luz sobre un rostro?;0.8186;si;519;56;That the light should fall upon a picture from one window only. This may be seen in the case of objects in this form. If you want to represent a round ball at a certain height you must make it oval in this shape, and stand so far off as that by foreshortening it appears round.;0.8186;519;That the light should fall upon a picture from one window only. This may be seen in the case of objects in this form. If you want to represent a round ball at a certain height you must make it oval in this shape, and stand so far off as that by foreshortening it appears round.
dentro;es;¿Cómo están dispuestos los músculos del brazo?;0.7844;si;781;144;ON THE REMEDY FOR EARTHQUAKES. The arch which throws its pressure perpendicularly on the abutments will fulfil its function whatever be its direction, upside down, sideways or upright. The arch will not break if the chord of the outer arch does not touch the inner arch. This is manifest by experience, because whenever the chord _a o n_ of the outer arch _n r a_ approaches the inner arch _x b y_ th;0.8025;595;"OF THE DISPOSITION OF LIMBS. As regards the disposition of limbs in movement you will have to consider that when you wish to represent a man who, by some chance, has to turn backwards or to one side, you must not make him move his feet and all his limbs towards the side to which he turns his head. Rather must you make the action proceed by degrees and through the different joints; that is, those o"
dentro;es;¿Qué le pasa al color de las cosas cuando están muy lejos?;0.8170;si;1555;30;"Of things seen through a mist that which is nearest its farthest limit will be least visible, and all the more so as they are more remote. Cod.A. 77;b 225b]";0.8251;296;The medium lying between the eye and the object seen, tinges that object with its colour, as the blueness of the atmosphere makes the distant mountains appear blue and red glass makes objects seen beyond it, look red. The light shed round them by the stars is obscured by the darkness of the night which lies between the eye and the radiant light of the stars.
dentro;es;¿Cómo se forman los remolinos en el agua?;0.7949;si;745;181;"The front _a m_ will give light to the rooms; _a e_ will be 6 braccia--_a b_ 8 braccia --_b e_ 30 braccia, in order that the rooms under the porticoes may be lighted; _c d f_ is the place where the boats come to the houses to be unloaded. In order to render this arrangement practicable, and in order that the inundation of the rivers may not penetrate into the cellars, it is necessary to chose an a";0.8021;993;"You now have to prove that the shells cannot have originated if not in salt water, almost all being of that sort; and that the shells in Lombardy are at four levels, and thus it is everywhere, having been made at various times. And they all occur in valleys that open towards the seas."
